Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Product,Quantity,Unit_Price,Discount,Payment_Mode,Customer_Type,Returned,Revenue,Discount_Amount,Final_Sales
ORD300001,2025-03-27,CUST13421,Customer_13421,East,Vijayawada,Electronics,Smart Watch,2,10911.02,0.05,Debit Card,Returning,No,21822.04,1091.102,20730.938000000002
ORD300002,2024-06-06,CUST12647,Customer_12647,North,Kolkata,Furniture,Sofa,3,10544.55,0.05,Cash,Returning,No,31633.649999999998,1581.6825,30051.9675
ORD300003,2024-07-03,CUST12597,Customer_12597,South,Hyderabad,Home & Kitchen,Mixer Grinder,6,1242.14,0.05,Credit Card,Returning,No,7452.84,372.64200000000005,7080.198
ORD300004,2025-09-14,CUST13403,Customer_13403,North,Hyderabad,Clothing,Jeans,3,1620.36,0.0,Credit Card,Returning,No,4861.08,0.0,4861.08
ORD300005,2025-07-20,CUST12586,Customer_12586,East,Bengaluru,Sports,Yoga Mat,5,7564.48,0.15,UPI,Returning,No,37822.399999999994,5673.359999999999,32149.039999999994
ORD300006,2024-07-06,CUST13229,Customer_13229,East,Bengaluru,Furniture,Office Chair,1,13843.28,0.2,Debit Card,Returning,No,13843.28,2768.6560000000004,11074.624
ORD300007,2024-04-10,CUST12019,Customer_12019,North,Delhi,Sports,Cricket Bat,2,7949.95,0.0,UPI,Returning,No,15899.9,0.0,15899.9
ORD300008,2024-03-03,CUST12223,Customer_12223,North,Delhi,Electronics,Smart Watch,6,19782.23,0.15,Credit Card,New,No,118693.38,17804.007,100889.373
ORD300009,2025-03-11,CUST12095,Customer_12095,North,Bengaluru,Clothing,Jacket,3,4820.75,0.05,Debit Card,Returning,No,14462.25,723.1125000000001,13739.1375
ORD300010,2025-06-21,CUST13339,Customer_13339,South,Bengaluru,Home & Kitchen,Cookware Set,4,2548.3,0.0,Debit Card,New,No,10193.2,0.0,10193.2
ORD300011,2024-06-04,CUST12740,Customer_12740,West,Bengaluru,Clothing,Formal Shirt,1,3971.02,0.0,UPI,Returning,No,3971.02,0.0,3971.02
ORD300012,2024-01-22,CUST13211,Customer_13211,West,Bengaluru,Home & Kitchen,Bedsheet,1,9034.28,0.05,Cash,Returning,No,9034.28,451.71400000000006,8582.566
ORD300013,2024-11-24,CUST13233,Customer_13233,East,Vijayawada,Sports,Football,4,9450.39,0.15,Debit Card,New,No,37801.56,5670.2339999999995,32131.325999999997
ORD300014,2025-06-23,CUST12188,Customer_12188,West,Vijayawada,Furniture,Coffee Table,1,27537.77,0.1,Cash,Returning,No,27537.77,2753.777,24783.993000000002
ORD300015,2024-11-26,CUST12487,Customer_12487,North,,Electronics,Smart Watch,3,21511.25,0.15,Credit Card,Returning,No,64533.75,9680.0625,54853.6875
ORD300016,2025-06-22,CUST12008,Customer_12008,North,Hyderabad,Clothing,Sneakers,7,1318.16,0.05,Cash,Returning,No,9227.12,461.35600000000005,8765.764000000001
ORD300017,2025-08-31,CUST12325,Customer_12325,East,Mumbai,Electronics,Bluetooth Speaker,4,3282.98,0.15,Net Banking,Returning,Yes,13131.92,1969.788,11162.132
ORD300018,2024-08-14,CUST12486,Customer_12486,West,Pune,Home & Kitchen,Cookware Set,2,9603.58,0.05,Debit Card,Returning,No,19207.16,960.3580000000001,18246.802
ORD300019,2024-10-30,CUST13368,Customer_13368,East,Vijayawada,Clothing,Formal Shirt,6,3335.23,0.15,Net Banking,Returning,No,20011.38,3001.707,17009.673000000003
ORD300020,2025-09-10,CUST12257,Customer_12257,East,Mumbai,Clothing,T-Shirt,1,3403.17,0.0,Credit Card,New,No,3403.17,0.0,3403.17
ORD300021,2025-02-01,CUST12546,Customer_12546,North,Vijayawada,Electronics,Bluetooth Speaker,1,18548.88,0.1,Cash,Returning,Yes,18548.88,1854.8880000000001,16693.992000000002
ORD300022,2024-06-20,CUST12471,Customer_12471,West,Pune,Furniture,Sofa,5,7628.52,0.0,UPI,Returning,No,38142.600000000006,0.0,38142.600000000006
